Date,Name,Year,Letterboxd URI
2022-11-21,Raging Bull,1980,https://boxd.it/28yI
2022-11-21,The Prestige,2006,https://boxd.it/293w
2023-03-18,Slumdog Millionaire,2008,https://boxd.it/1S3E
2023-03-18,Minority Report,2002,https://boxd.it/2aWi
2023-03-18,Gandhi,1982,https://boxd.it/29Dk
2023-03-18,The Bridge on the River Kwai,1957,https://boxd.it/29wo
2023-03-18,The Pursuit of Happyness,2006,https://boxd.it/28PE
2023-03-18,A Knight's Tale,2001,https://boxd.it/1YAk
2023-03-18,Rebecca,1940,https://boxd.it/2aQa
2023-03-18,Seven Years in Tibet,1997,https://boxd.it/29aC
2023-03-18,A Star Is Born,2018,https://boxd.it/aXgc
2023-03-18,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2023-03-18,Mystic River,2003,https://boxd.it/2aAG
2023-03-18,Eraserhead,1977,https://boxd.it/299u
2023-03-18,Singin' in the Rain,1952,https://boxd.it/29oY
2023-03-18,Vertigo,1958,https://boxd.it/2apI
2023-03-18,Blood Diamond,2006,https://boxd.it/28Tm
2023-03-18,Father Stu,2022,https://boxd.it/usvq
2023-03-18,Rocky,1976,https://boxd.it/28Uk
2023-03-18,Roma,2018,https://boxd.it/f69M
2023-03-18,Fast and Furious,1927,https://boxd.it/phl0
2023-03-18,Driving Miss Daisy,1989,https://boxd.it/2asC
2023-03-18,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2023-03-18,"Good Morning, Vietnam",1987,https://boxd.it/29Aq
2023-03-18,Dirty Dancing,1987,https://boxd.it/2baY
2023-03-18,Dances with Wolves,1990,https://boxd.it/2a4K
2023-03-18,Sunset Boulevard,1950,https://boxd.it/2a20
2023-03-18,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2023-03-18,King Kong,2005,https://boxd.it/2aLa
2023-03-18,King Kong,1933,https://boxd.it/2aMM
2023-03-18,Moby Dick,1956,https://boxd.it/1Wvi
2023-03-18,Silence,2016,https://boxd.it/2cAo
2023-03-18,The Color of Money,1986,https://boxd.it/1SSM
2023-03-18,The Age of Innocence,1993,https://boxd.it/1WgM
2023-03-18,Blade Runner,1982,https://boxd.it/2bcA
2023-03-18,Blade Runner 2049,2017,https://boxd.it/b8wK
2023-03-18,Nosferatu,1922,https://boxd.it/29TM
2023-03-18,Night of the Living Dead,1968,https://boxd.it/1WwA
2023-03-18,Rebel Without a Cause,1955,https://boxd.it/2aQu
2023-03-18,Frankenstein,1931,https://boxd.it/25Te
2023-03-18,Lawrence of Arabia,1962,https://boxd.it/2wRE
2023-03-18,Bonnie and Clyde,1967,https://boxd.it/2ajg
2023-03-18,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I
2023-03-18,Ben-Hur,1959,https://boxd.it/29RQ
2023-03-18,All Quiet on the Western Front,1930,https://boxd.it/2b2g
2023-03-18,Cat on a Hot Tin Roof,1958,https://boxd.it/2aK2
2023-03-18,The Great Gatsby,2013,https://boxd.it/JY
2023-03-18,Romeo + Juliet,1996,https://boxd.it/2ama
2023-03-18,Moulin Rouge!,2001,https://boxd.it/29wI
2023-03-18,The Great Gatsby,1974,https://boxd.it/1UNY
2023-03-18,The Terminal,2004,https://boxd.it/2a2O
2023-03-18,The Maltese Falcon,1941,https://boxd.it/29c4
2023-03-18,The Wizard of Oz,1939,https://boxd.it/29Xu
2023-03-18,To Kill a Mockingbird,1962,https://boxd.it/2a2E
2023-03-18,Psycho,1960,https://boxd.it/2ab2
2023-03-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2023-03-18,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2023-03-18,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2023-03-18,Apollo 13,1995,https://boxd.it/2a6G
2023-03-18,The Road,2009,https://boxd.it/1CWI
2023-03-18,Citizen Kane,1941,https://boxd.it/71O
2023-03-18,Amadeus,1984,https://boxd.it/2aH8
2023-03-18,Mad Max,1979,https://boxd.it/1Y7i
2023-03-18,Breakfast at Tiffany's,1961,https://boxd.it/2aYS
2023-03-18,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2023-03-19,Finding Neverland,2004,https://boxd.it/29pW
2023-03-19,The Boston Strangler,1968,https://boxd.it/1tmG
2023-03-20,Hamburger Hill,1987,https://boxd.it/1VIU
2023-03-20,Born on the Fourth of July,1989,https://boxd.it/26A8
2023-03-24,The Peanut Butter Falcon,2019,https://boxd.it/gzu2
2023-03-28,Seabiscuit,2003,https://boxd.it/24iw
2023-04-26,V for Vendetta,2005,https://boxd.it/29Ik
2023-05-02,The Adventures of Robin Hood,1938,https://boxd.it/1V6G
2023-05-02,The Sea Hawk,1940,https://boxd.it/1ums
2023-05-02,The Sea Hawk,1924,https://boxd.it/DUw
2023-05-02,Captain Blood,1935,https://boxd.it/1JvO
2023-05-02,The Charge of the Light Brigade,1936,https://boxd.it/Tl8
2023-05-02,Batman and Robin,1949,https://boxd.it/3gAO
2023-05-02,The Black Pirate,1926,https://boxd.it/Eua
2023-05-02,The Black Corsair,1976,https://boxd.it/3y1M
2023-05-02,"Blackbeard, the Pirate",1952,https://boxd.it/3ZxU
2023-05-04,Napoleon,1927,https://boxd.it/WEC
2023-05-04,8½,1963,https://boxd.it/2aqm
2023-05-04,Pi,1998,https://boxd.it/2ajq
2023-05-04,Blazing Saddles,1974,https://boxd.it/1UHQ
2023-05-04,All the President's Men,1976,https://boxd.it/29lU
2023-05-04,Close Encounters of the Third Kind,1977,https://boxd.it/29u8
2023-05-05,M,1931,https://boxd.it/29vq
2023-05-05,Dracula,1931,https://boxd.it/2b34
2023-05-05,Dr. Jekyll and Mr. Hyde,1931,https://boxd.it/25VO
2023-05-05,Little Caesar,1931,https://boxd.it/1qIu
2023-05-07,Cool Hand Luke,1967,https://boxd.it/29jY
2023-05-08,Rush Hour,1998,https://boxd.it/27pU
2023-05-10,Captain Kidd,1945,https://boxd.it/1MiS
2023-05-10,The Buccaneer,1958,https://boxd.it/23Dy
2023-05-12,The Last Boy Scout,1991,https://boxd.it/1YYQ
2023-06-27,The Great Escape,1963,https://boxd.it/22kA
2023-07-09,The Crimson Pirate,1952,https://boxd.it/1TwM
2023-08-02,Moon,2009,https://boxd.it/1IGQ
2023-08-02,Children of Men,2006,https://boxd.it/1Y2i
2023-08-30,Sound of Metal,2019,https://boxd.it/i7Q4
2023-09-10,Bridge of Spies,2015,https://boxd.it/9n9C
2023-09-10,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY
2023-09-29,Life of Pi,2012,https://boxd.it/37pC
2023-10-18,Loving Vincent,2017,https://boxd.it/biIQ
2023-10-20,The Fighter,2010,https://boxd.it/PP4
2023-10-20,Into the Wild,2007,https://boxd.it/22m2
2023-10-20,In the Name of the Father,1993,https://boxd.it/20I6
2023-10-20,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2023-10-20,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2023-10-20,The Last of the Mohicans,1992,https://boxd.it/1YSo
2023-10-20,All About Eve,1950,https://boxd.it/29LI
2023-10-22,Little Women,2019,https://boxd.it/aSVk
2023-10-25,The Great Race,1965,https://boxd.it/1TvY
2023-10-25,Chaplin,1992,https://boxd.it/1WgW
